$M, $S, $Y, $X, $U, $T, "(R - Q)"
1, 0.4, 0.1, 0.953967, 1.15429, 0.975653, 1.53646
1, 0.4, 0.2, 0.934749, 1.14973, 0.977016, 1.55829
1, 0.6, 0.1, 0.948103, 1.1472, 0.969814, 1.73743
1, 0.6, 0.2, 0.92901, 1.14267, 0.97135, 1.75954
2, 0.4, 0.1, 1.44914, 1.75344, 1.68777, 1.67636
2, 0.4, 0.2, 1.42678, 1.75492, 1.69498, 1.70177
2, 0.6, 0.1, 1.40298, 1.69759, 1.61844, 1.85719
2, 0.6, 0.2, 1.38221, 1.7001, 1.62689, 1.88335
