$M, $S, $Y, $X, $U, $T, "(R - Q)"
1, 0.4, 0.1, 0.957295, 1.15406, 0.975379, 1.52741
1, 0.4, 0.2, 0.936481, 1.14976, 0.977141, 1.55391
1, 0.6, 0.1, 0.948903, 1.14752, 0.969771, 1.73741
1, 0.6, 0.2, 0.93344, 1.14273, 0.971202, 1.7491
2, 0.4, 0.1, 1.45464, 1.76105, 1.69635, 1.66495
2, 0.4, 0.2, 1.43674, 1.76067, 1.70252, 1.68378
2, 0.6, 0.1, 1.41399, 1.70337, 1.62486, 1.84047
2, 0.6, 0.2, 1.38901, 1.70638, 1.63486, 1.87165
