$m_t0, $f_c0, $f_c1, $p_p0, $u_t0
1, 0.508647, 0.320535, 0.8199, 0.8199
2, 0.599696, 0.326509, 0.889561, 1.43274
3, 0.639017, 0.314823, 0.898245, 1.85036
4, 0.645508, 0.303951, 0.886265, 2.0677
5, 0.64243, 0.29599, 0.872271, 2.18474
6, 0.64243, 0.29599, 0.872271, 2.18474
inf, 0.64243, 0.29599, 0.872271, 2.18474
