#  a1  W_{e1} U_{t1}
0.25 0.70844 0.178095 
0.5 0.85517 0.425344 
0.75 1.1106 0.821729 
1 1.5168 1.39757 
1.25 2.3517 2.2587 
1.5 5.805 3.65764 
1.75 inf 4.99963 
